年別,行政區,所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],[1]農業淨收入[NT],[2]營業淨收入[NT],[3]執行業務淨收入[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]可支配所得[NT]
106年,松山區,138569,1012678,645531,458001,58740,128789,58361,-,58361,-,91075,68013,149675,75969,16050,52727,1554,3375,24,188916,11784,177132,50477,37448,75195,14012,823763
106年,信義區,161014,909336,538341,393354,41681,103305,66034,-,66034,-,123285,58358,123184,58943,14805,48144,646,646,134,170879,7269,163610,62291,30073,71084,161,738457
106年,大安區,209925,1038921,676577,459931,63781,152865,62455,-,62455,-,96721,78541,124540,58391,17018,47715,74,1343,87,215603,10240,205363,79608,46347,79268,139,823318
106年,中山區,174161,861415,520363,364172,28066,128126,81667,1989,79678,-,52089,61040,146249,63913,17536,61802,1166,1833,6,158921,6342,152579,54403,34035,64006,136,702494
106年,中正區,107961,1022438,739717,521655,48055,170007,88782,-,88782,-,59790,55215,78934,21694,15841,41188,211,-,-,229845,13493,216352,60409,64422,90485,1037,792593
106年,大同區,86084,814439,456212,347107,25840,83265,141022,-,141022,-,43187,53849,120054,51353,16275,46350,119,5956,116,155197,10859,144338,54146,16707,64434,9051,659242
106年,萬華區,130122,814965,417117,321541,12121,83456,154806,-,154806,-,50656,49367,142979,63121,20125,51782,759,7192,40,121264,7470,113794,31464,22517,59710,103,693702
106年,文山區,185000,824151,488025,353574,40746,93705,95349,9865,85484,-,78037,52195,110498,50347,19253,37144,-,3755,47,125995,5021,120973,23846,25093,70175,1859,698156
106年,南港區,90221,743109,483536,364641,14950,103945,70301,-,70301,-,29582,46723,112968,30660,16127,64951,1230,-,-,126409,10907,115502,26177,22114,67032,180,616700
106年,內湖區,206771,830262,571556,430192,18542,122822,55571,-,55571,-,46150,61112,95785,40381,13593,41653,158,-,88,147855,8009,139846,38250,25467,76055,73,682406
106年,士林區,205585,796637,438264,327941,17740,92583,132532,1605,130927,-,58940,40790,126005,51560,15180,56433,170,2662,106,117100,4508,112591,31378,19487,60596,1130,679537
106年,北投區,169922,864652,520236,384927,23777,111533,119221,6659,112562,-,57129,44771,123242,51078,17888,53888,9,379,53,148892,8603,140289,41418,26879,69186,2806,715760
107年,總平均,1946102,843577,520522,385462,30598,104462,98026,242,97784,-,56278,57996,110725,45023,14292,48259,716,2435,29,132965,5945,127020,32508,27689,64390,2433,710612
107年,松山區,140485,963219,545775,393263,45631,106881,153101,-,153101,-,78342,56659,129341,66200,13866,49275,-,-,1,161924,8254,153670,49585,35614,64359,4113,801294
107年,信義區,181230,843223,516790,375971,34372,106446,125685,-,125685,-,43448,53778,103493,34967,14340,54101,85,-,30,131373,3304,128069,32255,31560,64021,233,711850
107年,大安區,222390,934984,603355,421583,62751,119021,69153,-,69153,-,74200,77595,110679,43939,12622,46766,1907,5444,2,139249,6046,133203,30206,34907,67854,236,795735
107年,中山區,172728,882795,523815,389104,24319,110392,84420,-,84420,-,89190,72940,112381,42277,13191,47384,440,9089,48,153484,8784,144701,37458,30589,68683,7970,729310
107年,中正區,115656,939209,570789,430123,25717,114949,148053,-,148053,-,66709,56351,97298,46526,14316,36456,-,-,9,162434,3588,158847,45931,31804,72302,8810,776775
107年,大同區,99559,756399,471186,369320,6145,95722,85379,-,85379,-,46016,55281,98536,32275,15229,49955,1077,-,-,119025,4243,114781,31042,19356,64282,101,637375
107年,萬華區,144009,733920,360945,286885,6058,68002,186040,-,186040,-,29426,40824,116490,49200,16128,50908,253,-,195,96643,5907,90735,24307,15955,50002,472,637277
107年,文山區,194819,778077,484490,360129,29586,94774,61689,-,61689,-,60613,46926,124355,57206,15300,49165,536,2148,4,107620,4545,103075,21948,21874,56518,2735,670457
107年,南港區,92371,737843,481710,355014,24154,102542,65268,-,65268,-,35176,47208,108377,44699,13444,50235,-,-,103,117685,2321,115364,34778,19691,57714,3181,620158
107年,內湖區,206068,835948,579498,441507,20518,117473,60010,-,60010,-,41576,66240,88618,25534,12888,46396,507,3293,6,149767,7682,142085,31479,34023,76024,558,686181
107年,士林區,188281,873036,533228,398310,33013,101906,90884,2500,88385,-,53225,60194,135504,60245,17213,53662,482,3902,1,134904,7502,127402,32887,27005,64084,3426,738132
107年,北投區,188506,780539,500771,366259,31056,103456,87966,-,87966,-,45385,47317,99092,38994,13622,43507,2303,666,8,117107,6188,110919,27557,21414,61933,15,663433
108年,總平均,2030824,851300,535324,391033,28342,115949,87301,695,86606,-,70374,52893,105380,39686,13596,50900,575,622,30,144609,7447,137162,37002,30933,67634,1594,706691
108年,松山區,159537,910472,582210,414266,32753,135191,86983,-,86983,-,79519,62025,99699,34425,12560,51242,-,1473,34,159216,7000,152217,47959,28502,72700,3056,751255
108年,信義區,171456,898141,502252,354390,28122,119739,124100,1423,122677,-,105476,41680,124634,55107,11884,54735,2908,-,-,130391,3484,126907,30147,32475,62630,1654,767750
108年,大安區,224464,1018187,608917,442913,31270,134733,116412,-,116412,-,104784,73555,114518,42909,12580,56463,62,2503,2,188185,8643,179542,54821,51777,69990,2956,830002
108年,中山區,185065,833335,477423,345625,33852,97946,118252,-,118252,-,60692,64442,112470,37986,12651,60420,-,1413,56,138000,10368,127632,39830,25034,60759,2009,695335
108年,中正區,113803,963037,639863,432429,60973,146461,75922,-,75922,-,79335,56310,111571,45952,19554,45921,144,-,36,155988,4845,151144,38800,41159,71137,48,807048
108年,大同區,93829,823108,492073,374930,6104,111039,97882,-,97882,-,77158,51879,104113,32799,14749,55664,901,-,3,133865,7386,126478,35207,22167,69086,19,689244
108年,萬華區,156932,707199,443757,335929,20011,87817,79529,-,79529,-,36985,41941,104800,37258,14492,52029,1021,-,186,117994,5211,112783,28948,21242,62571,22,589205
108年,文山區,190877,852243,545812,407567,30600,107645,123293,-,123293,-,54551,47334,81250,27828,13928,38670,824,-,3,135041,9238,125803,27443,29406,68921,34,717202
108年,南港區,86877,815196,551309,395491,32180,123638,40346,-,40346,-,69221,41477,112789,43235,13517,55223,814,-,54,122502,3845,118657,26704,27407,64447,100,692694
108年,內湖區,226320,782330,541361,404014,21675,115672,58705,810,57895,-,40138,50293,91832,35216,12310,43746,560,-,-,155127,7495,147632,43607,25452,75986,2587,627203
108年,士林區,224915,830544,513820,379674,20417,113729,66121,2861,63260,-,99084,42950,108564,44393,14762,48427,68,913,6,146020,8862,137158,35198,33803,64603,3554,684524
108年,北投區,196748,770845,530225,395383,27649,107194,43819,1729,42089,-,38249,52854,105679,39727,13128,52702,123,-,19,126759,8647,118112,25625,25382,66998,107,644086
109年,總平均,2008552,857985,548462,401111,32251,115100,84389,-,84389,-,62922,52064,110128,38470,17092,53530,758,279,19,142788,6999,135789,36879,27308,70777,825,715197
109年,松山區,136024,993571,539136,403300,32389,103446,155438,-,155438,-,100028,78715,120243,48932,16886,54026,398,-,12,140655,5219,135437,30965,34444,68296,1731,852916
109年,信義區,173661,856566,560204,413301,22370,124533,93980,-,93980,-,50664,50708,101008,32268,14476,54084,180,-,4,146400,8174,138226,39844,28864,69518,-,710166
109年,大安區,242906,962624,586668,397464,64981,124223,85325,-,85325,-,105242,72777,112560,39172,15226,54650,2630,882,52,160843,8045,152797,41474,36458,70472,4394,801781
109年,中山區,178937,924507,589296,407757,50899,130640,71250,-,71250,-,93996,47050,122874,56505,17456,47606,862,445,41,146798,7215,139583,41202,30460,67760,161,777709
109年,中正區,124584,817137,557242,416335,37385,103522,57642,-,57642,-,40857,52898,108499,43472,18711,43528,647,2141,-,136765,3411,133354,35500,28708,69146,-,680371
109年,大同區,92379,729945,417886,328432,4235,85220,109188,-,109188,-,69618,28958,104251,35431,16297,49927,2597,-,45,106787,4849,101938,25097,14429,62412,-,623158
109年,萬華區,155470,753554,380543,284043,20774,75727,176927,-,176927,-,40587,30074,125424,43942,15230,65863,389,-,-,104744,3708,101036,32996,15484,52556,-,648810
109年,文山區,219666,808225,569588,422039,21495,126054,46812,-,46812,-,41196,46974,103619,28422,20997,54102,97,-,36,146313,8972,137341,33468,30236,73637,-,661913
109年,南港區,87978,776235,510201,392441,17628,100133,78672,-,78672,-,44426,37764,105147,33670,18218,53260,-,-,24,112546,4451,108095,16199,17673,74223,-,663689
109年,內湖區,216077,853125,569910,420032,33650,116228,71296,-,71296,-,57126,53294,101500,33000,16133,51886,481,-,-,151128,12008,139120,35866,26260,76250,744,701997
109年,士林區,195946,808717,563674,414866,26316,122492,53347,-,53347,-,41924,45405,104360,38373,19137,46350,500,-,8,143604,4494,139110,39510,24668,74931,-,665113
109年,北投區,184924,892929,607015,453472,24964,128579,57986,-,57986,-,55413,59316,113197,32489,16443,64051,214,-,2,166985,7553,159432,50589,26091,81866,886,725944
110年,總平均,1989534,880983,542060,400361,30428,111271,87674,-,87674,-,76831,51846,122561,41112,20199,58033,1282,1935,11,150463,7607,142856,38565,31960,70846,1485,730520
110年,松山區,173658,873630,601234,453224,20289,127721,34783,-,34783,-,72246,57834,107533,33648,17395,54263,665,1562,-,165037,9413,155624,37892,31011,81423,5297,708592
110年,信義區,176189,856185,513570,375873,29187,108510,72568,-,72568,-,103478,46528,120040,45942,19992,54086,21,-,1,133712,3745,129967,39407,23630,66930,-,722474
110年,大安區,218588,1072230,661051,478535,62457,120058,77697,-,77697,-,109823,78772,144861,48932,20427,63620,618,11265,27,177676,8424,169252,52234,44937,69017,3064,894554
110年,中山區,182926,941696,524299,400129,11251,112919,183057,-,183057,-,60913,48774,124644,40723,20284,57421,334,5882,9,158127,10153,147974,37813,30208,78498,1456,783569
110年,中正區,116009,1078206,673030,479389,65579,128063,99496,-,99496,-,121497,57741,126436,49784,19195,57367,90,-,6,178367,12375,165991,46887,47207,67316,4582,899839
110年,大同區,93482,734736,406620,324506,4336,77778,122698,-,122698,-,67076,38415,99832,33729,16996,48728,379,-,94,108261,2701,105560,29385,15190,60985,-,626474
110年,萬華區,144494,722735,367850,280002,7373,80475,144088,-,144088,-,59776,33174,117831,29995,25061,61909,866,-,17,111610,3540,108070,25374,17327,65369,-,611125
110年,文山區,207917,922934,561168,398597,36697,125873,87393,-,87393,-,89917,58649,125806,46096,20132,58718,664,195,0,193917,10558,183359,63126,45471,74762,-,729017
110年,南港區,87784,755173,472563,333722,50360,88481,57493,-,57493,-,49896,51264,123956,42091,18337,63423,106,-,-,113773,2699,111074,32849,16352,61873,-,641399
110年,內湖區,209764,887331,598357,441882,27686,128789,58654,-,58654,-,57328,50099,122887,39703,21180,58136,3868,-,5,154307,8462,145845,35301,35925,74619,-,733023
110年,士林區,201136,791275,492625,367445,25393,99787,57255,-,57255,-,74589,44045,122761,38035,22607,57083,5035,-,-,140161,9341,130820,27156,34502,66596,2566,651114
110年,北投區,177587,798920,513249,386455,23181,103613,80333,-,80333,-,44065,42918,118347,40493,18276,59053,525,-,7,121424,4813,116611,23310,22096,70918,287,677496
111年, 總平均,1977711,888014,543970,392540,35915,115515,86015,87,85928,-,67433,52825,137766,46719,24047,66027,794,178,6,153095,8101,144994,38511,30483,74403,1597,734919
111年,松山區,150294,953923,568077,412870,39200,116007,98810,-,98810,-,111965,55892,119171,36660,18775,62324,1063,348,9,153400,12339,141061,35289,28958,76815,-,800523
111年,信義區,172729,901225,515867,380331,43770,91766,112896,-,112896,-,77472,55609,139380,51316,21758,65797,509,-,-,141298,7762,133536,35210,29112,67538,1675,759927
111年,大安區,225510,1031784,643472,458159,57582,127732,63869,-,63869,-,84976,75794,163673,71973,21250,69022,786,642,-,187517,6130,181387,53168,46331,78715,3173,844267
111年,中山區,178128,914233,597027,443010,24923,129095,79207,-,79207,-,50717,54723,132559,41018,27755,63750,35,-,-,157672,8885,148787,37452,30389,80947,-,756561
111年,中正區,123485,958116,586888,409355,55988,121546,110587,-,110587,-,100225,42606,117810,33171,22578,60533,1527,-,-,170361,6591,163770,49803,36858,77109,-,787755
111年,大同區,89436,882599,469166,349979,23360,95827,161467,-,161467,-,56527,50731,144707,50282,25471,68286,669,-,-,137865,7251,130614,38040,19908,69445,3221,744734
111年,萬華區,138328,715214,381882,285123,25052,71708,66344,-,66344,-,85607,34946,146367,43482,34049,68540,296,-,67,108557,9579,98978,29469,12619,56890,-,606657
111年,文山區,192906,898564,605864,441891,40612,123361,46963,-,46963,-,33892,72993,138849,44909,21647,70037,2256,-,1,158702,10424,148278,33967,31365,82947,-,739861
111年,南港區,100020,771947,492702,349754,33348,109601,74587,-,74587,-,34036,38793,131828,46424,24561,59160,1683,-,-,167345,9916,157428,47701,27210,81249,1268,604602
111年,內湖區,214852,880158,545189,397626,15253,132311,79919,-,79919,-,73444,49827,131778,43234,25053,62683,809,-,-,147757,8769,138988,30637,29019,77410,1922,732402
111年,士林區,201412,785911,436340,322272,31110,82959,114952,-,114952,-,61316,42503,130800,40250,19202,71107,242,-,-,128825,4582,124244,33670,17530,66460,6584,657085
111年,北投區,190610,878979,584662,390830,36572,157260,68898,907,67991,-,39927,40751,144739,48143,29296,66363,121,817,2,165337,6635,158702,40925,44228,73549,-,713642
112年, 總平均,2069694.12,859054.41,513858.57,374476.72,34391.97,104989.88,91128.62,776.34,90352.28,-,68831.84,50211.43,135020.81,43124.45,25986.82,64500.29,1080.48,328.77,3.13,146768.4,7037.47,139730.93,38848.35,25080.18,74700.18,1102.23,712286.01
112年,松山區,153509.54,899566.56,510178.68,367824.91,35893.93,106459.84,142154.57,0,142154.57,-,66492.23,56279.77,124461.31,36966.9,23128.61,62173.14,97.9,2094.76,0,142948.29,2352.82,140595.48,33784.64,25091.52,81681.09,38.22,756618.27
112年,信義區,171911.42,874116.55,473965.45,351580.78,32477.95,89906.72,111763.35,0,111763.35,-,64293.76,56673.49,167420.51,65524.52,24154.91,74192.79,3548.29,0,0,120960.62,5573.66,115386.96,27343.4,21778.97,66249.82,14.78,753155.93
112年,大安區,260845.13,943088.31,580804.46,418137.04,45366.78,117300.64,67276.16,0,67276.16,-,105808.13,67671.15,121528.41,40962.99,22535.63,56367.75,654.71,1007.34,0,183511.09,8690.58,174820.51,60492.22,33568.23,79811.05,949.01,759577.22
112年,中山區,194110.18,857625.34,489295.54,371897.66,16684.95,100712.93,98285.56,0,98285.56,-,65777.77,50513.76,153725.7,48313.02,27987.96,75790.1,1634.62,0,27.02,143666.49,3271.21,140395.28,42333.59,21936.64,73970.71,2154.35,713958.86
112年,中正區,121237.69,1045425.28,596866.99,398937.32,71634.01,126295.66,153017.1,8903.95,144113.15,-,103705.86,54023.95,137811.37,47098.76,25854.7,63259.13,1329.21,269.58,0,181180.99,11634.02,169546.97,42247.31,41373.89,77191.38,8734.39,864244.29
112年,大同區,94069.01,773748.23,408863.92,304864.59,10476.63,93522.7,73340.66,0,73340.66,-,106280.39,39520.75,145742.51,54015.69,25244.28,66482.54,0,0,0,107799.18,1287.24,106511.94,28564.47,12686.71,65260.76,0,665949.05
112年,萬華區,143617.07,722114.53,424929.38,313301.19,25630.94,85997.25,64608.53,0,64608.53,-,41614.38,38747.48,152213.68,55886.62,29719.5,65957.38,650.18,0,1.09,127287.27,5977.03,121310.23,36947.32,22197.79,61790.75,374.36,594827.27
112年,文山區,215459.56,784311.36,488773.13,354667.49,41727.44,92378.2,76502.52,0,76502.52,-,54937.7,42588.99,121504.01,37533.22,25481.21,58295.36,194.22,0,5.01,122803.77,6061.42,116742.35,26671.47,19361.29,70121.04,588.55,661507.59
112年,南港區,95132.27,765969.83,484500.19,360361.63,17961.48,106177.08,72515.27,0,72515.27,-,33510.42,46248.31,129195.64,47972.61,28252.11,52970.92,0,0,0,128719.6,6267.51,122452.09,20626.21,16784.37,82041.57,2999.94,637250.23
112年,內湖區,219187.8,916275.51,579441.36,426086.42,23011.28,130343.66,96754.29,0,96754.29,-,70239.34,52950.61,116889.91,24924.84,25012.9,65223.21,1728.95,0,0,173346.77,13412.89,159933.88,44107.94,31358.38,84100.71,366.86,742928.74
112年,士林區,208970.23,813640.78,475334.18,352956.85,24238.59,98138.74,94921.95,2523.32,92398.62,-,63882.38,40476.13,139026.15,38990.02,26610.39,72698.2,423.87,303.66,0,142647.08,11060.33,131586.75,39315.14,20031.17,72240.43,0,670993.7
112年,北投區,191644.21,841067.91,561793.7,401785.47,56644.11,103364.11,61528.74,0,61528.74,-,44436.41,44929.71,128379.35,37428.55,30118.8,58957.47,1874.54,0,0,148065.45,4178.38,143887.07,40768.72,26471.65,76637.21,9.5,693002.46
113年,總平均,2077682,892650,544189,391213,40313,112664,79363,392,78971,-,79846,51861,137385,42744,17885,74981,700,1076,6,154717,7387,147329,39511,31048,75131,1639,737934
113年,松山區,158236,961339,569641,404583,27585,137473,58283,0,58283,-,92960,72683,167771,56694,16948,94095,34,0,0,160138,5060,155079,29816,52812,72431,20,801201
113年,信義區,185211,854416,548034,384445,57439,106150,77436,0,77436,-,66954,45998,115986,28598,15747,69884,1756,0,9,136799,5305,131494,29680,24819,76989,6,717617
113年,大安區,235933,1043894,663935,454968,66961,142006,75503,0,75503,-,99603,64578,140274,43864,17219,72403,18,6770,0,209552,10072,199479,56085,56389,87002,4,834343
113年,中山區,183708,903328,478637,332992,51378,94267,122953,0,122953,-,101673,61594,138471,42291,19126,75746,440,869,0,147146,7891,139255,44407,27320,66118,1410,756181
113年,中正區,118445,1074423,671689,467246,64354,140089,76466,0,76466,-,108658,44964,172646,68525,15323,88440,359,0,0,157660,6848,150812,30866,34325,85597,23,916763
113年,大同區,98315,776167,411114,301699,31331,78084,115842,0,115842,-,75788,50196,123228,38029,16353,68846,0,0,0,131145,3954,127191,48471,16164,62546,9,645022
113年,萬華區,145803,823525,433291,315863,36877,80551,92109,0,92109,-,66233,38959,192868,73427,24867,92678,741,1155,66,144379,6857,137522,46867,22233,59436,8985,679146
113年,文山區,212982,888329,612536,442776,38291,131469,52921,297,52624,-,52480,49534,120857,42954,18441,57198,2265,0,0,154620,5295,149325,40347,23918,85055,4,733708
113年,南港區,93343,911966,604753,468905,15019,120830,44102,0,44102,-,68400,64878,129833,30153,18486,80508,687,0,0,214703,12201,202502,79282,29654,93565,0,697263
113年,內湖區,236188,861285,526721,381920,32122,112679,81813,0,81813,-,69764,46236,136747,41959,16033,77412,1185,159,5,150520,9469,141052,36760,24678,71937,7677,710765
113年,士林區,197460,817299,497130,362645,39156,95329,90258,3809,86448,-,69393,45664,114855,30224,20190,64125,316,0,0,127207,4539,122668,26651,21501,74471,45,690092
113年,北投區,212058,798205,480107,368457,12079,99571,68456,0,68456,-,89062,40999,119581,28386,16553,73359,0,1283,0,132242,10091,122151,24960,30178,66996,18,665963
